NOUN,ADJ,ADV,AUX,CONJ,CCONJ,DET,INTJ,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,X,SPACE,text_word_count,text_unique_word_count,sents_count,ents_count,title_word_count,title_unique_word_count,avg_word_len,stdev_word_len,polarity,subjectivity
85,25,13,20,0,13,50,0,3,12,21,44,43,7,0,40,0,3,387,214,15,28,14,14,4.618604651162791,3.0594159606845124,0.08954081632653062,0.3077947845804988
142,40,14,20,0,14,33,0,8,10,10,14,48,5,0,38,0,6,407,225,16,21,14,13,4.93859649122807,3.1048635020710904,0.06796875,0.44296875
88,26,12,13,0,14,37,0,3,12,17,45,53,6,1,37,0,5,361,196,12,33,12,12,4.330935251798561,2.8882765918932285,0.11346825396825401,0.35891269841269835
85,33,16,20,0,11,33,0,5,9,26,23,38,10,0,41,0,7,369,189,13,25,15,14,4.397560975609756,2.6398291977123067,0.21806682900432905,0.49555262445887455
48,26,7,14,0,11,19,0,3,12,13,23,23,4,0,20,0,3,233,154,11,20,14,13,4.385214007782102,2.827642440342841,0.1748746081504702,0.47982758620689653
1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,3,0,0,9,9,1,1,11,11,4.2,2.573367875415838,0.0,0.0
119,47,23,16,0,23,49,0,4,16,21,48,54,6,0,54,0,7,492,261,15,37,22,22,4.692167577413479,2.978933430042654,0.05230243161094225,0.32779297534616686
1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,3,0,0,9,9,1,1,11,11,4.2,2.573367875415838,,
114,49,16,20,0,17,50,0,8,22,28,32,47,6,0,53,0,6,469,236,20,29,14,14,4.461832061068702,2.905864263028477,0.0,0.0
94,23,14,14,0,24,37,0,3,13,22,30,42,7,0,44,0,7,375,216,13,21,20,20,4.599520383693045,3.064263583289919,0.1207034632034632,0.5660046897546896
92,32,14,21,0,18,43,0,6,13,23,55,47,7,2,49,0,7,436,222,17,32,16,16,4.738683127572016,2.9615448591897247,0.11801652892561983,0.4480096418732783
148,62,14,25,0,36,43,0,8,10,25,28,55,5,0,51,0,8,540,300,23,30,23,20,4.679530201342282,3.002461250446188,0.09860998376623376,0.4490496482683982
60,23,8,17,0,13,25,0,8,11,13,52,41,3,0,29,0,12,310,176,13,35,5,5,4.67887323943662,5.180742140109315,0.052591041034437264,0.39772727272727265
78,41,7,21,0,22,49,0,0,8,29,59,35,5,0,31,0,6,421,204,14,34,14,14,4.396929824561403,2.9191131054717823,0.044047619047619044,0.37642857142857145
58,13,1,10,0,7,38,0,5,3,3,81,35,1,0,19,2,5,296,166,9,23,15,15,4.558558558558558,2.915531791428735,0.10315840621963068,0.3946793002915452
621,209,105,99,0,67,228,4,140,17,48,133,301,28,2,196,1,10,2241,790,97,238,21,18,4.488076923076923,2.989376495090881,0.065,0.2925
59,41,15,18,0,12,38,0,13,5,8,47,43,3,1,24,0,3,327,198,16,39,11,11,4.757412398921833,3.096714525717829,,
175,90,31,18,0,32,52,0,23,19,35,109,121,1,1,71,0,27,747,372,26,87,9,9,4.452702702702703,3.179346666188399,0.10586439864483344,0.40763216638434036
185,59,28,40,0,39,46,0,5,39,36,100,89,8,0,92,0,13,787,373,38,55,19,17,4.93287827076223,3.196139438411046,0.12498334998334999,0.3780525030525031
95,31,12,17,0,31,38,0,2,22,23,63,51,6,0,57,0,6,451,223,17,43,19,17,4.57455268389662,2.9099890726762827,0.09394531249999999,0.278999255952381
104,27,7,11,0,13,33,0,13,10,11,56,58,6,3,38,0,12,382,205,13,25,13,13,5.060538116591928,3.523712760696049,0.21089264069264071,0.4388389610389609
104,27,7,11,0,13,33,0,13,10,11,56,58,6,3,38,0,12,382,205,13,25,15,15,5.060538116591928,3.523712760696049,0.029306290417401522,0.38115814226925343
181,77,19,39,0,33,84,0,15,18,15,72,104,8,1,77,1,8,728,376,31,56,12,12,5.028811524609844,3.4712605300609938,0.16889400921658984,0.3608294930875576
164,43,18,22,0,27,61,0,3,18,21,30,55,8,0,64,0,9,557,266,19,27,13,12,4.622366288492707,2.95337451315704,0.16889400921658984,0.3608294930875576
148,51,9,41,0,38,60,0,5,21,25,129,93,7,0,67,0,13,696,345,30,79,5,5,4.733921815889029,3.0111026670735264,0.10714731934731937,0.4160642838642839
120,32,12,20,0,11,57,0,15,7,2,66,45,3,0,39,0,4,467,203,18,32,10,10,4.914728682170543,3.122187452628444,0.06853924336533032,0.41736027981680146
96,42,11,31,0,13,39,0,18,9,17,45,63,4,0,47,0,9,434,251,19,41,5,5,4.782696177062374,3.0791085806540064,0.10675838286007776,0.3244535549196567
96,42,11,31,0,13,39,0,18,9,17,45,63,4,0,47,0,9,434,251,19,41,5,5,4.782696177062374,3.0791085806540064,0.1806679035250464,0.46028756957328393
132,54,28,32,0,21,60,0,13,17,16,58,58,9,0,53,1,8,583,292,19,52,20,17,4.504615384615384,2.741701628176336,0.11044226044226048,0.41025798525798524
154,33,10,15,0,25,62,0,7,13,15,63,75,6,0,60,0,8,539,273,22,52,6,6,5.157723577235773,3.5850987322818155,0.11044226044226048,0.41025798525798524
284,127,37,40,0,49,94,0,31,17,35,100,163,6,0,88,2,28,1083,488,54,68,9,9,4.9496,3.6215953117489073,0.1735827165665875,0.4348041474654378
61,29,10,12,0,8,26,0,9,12,10,25,33,5,0,30,0,5,273,155,15,21,14,14,5.0130718954248366,3.138313064876536,0.07838044308632543,0.18633817163228925
60,34,7,9,0,4,28,0,11,1,3,30,36,2,1,17,0,4,244,140,11,33,12,12,4.843416370106762,3.198833671537117,0.14708499833499827,0.35872845904095896
66,35,13,11,0,9,32,0,11,4,6,35,31,1,1,23,0,4,296,162,14,44,13,12,4.637195121951219,2.8304948290186847,0.17976190476190476,0.40273368606701937
173,52,16,29,0,16,62,0,31,14,11,112,123,6,6,68,0,12,691,344,25,74,25,21,4.759416767922236,3.2875871612969934,0.06202346041055719,0.23685239491691104
90,29,12,11,0,14,30,0,6,8,15,51,73,1,0,43,0,6,361,202,16,28,15,15,4.612903225806452,3.169196334818495,0.07375366568914955,0.3920821114369502
54,27,6,13,0,6,18,0,1,7,10,21,24,5,0,25,0,4,217,132,10,21,14,13,4.966942148760331,3.3357957595357126,0.11896462912087914,0.45701121794871785
105,46,15,17,0,14,53,0,13,7,10,35,50,1,2,40,0,8,412,209,19,34,16,15,4.311965811965812,2.9106806901821307,0.10957431457431459,0.4028354978354978
171,68,18,28,0,25,81,0,4,19,31,42,75,12,0,86,0,9,674,333,27,40,16,16,4.663115845539281,2.995055549606482,0.10654936461388076,0.33455522971652
140,46,17,24,0,22,53,0,8,15,18,108,123,7,0,66,0,12,603,351,26,81,17,17,4.979367262723521,3.5100584529169505,0.16009262055773685,0.32548407664686735
272,91,34,56,0,41,97,0,19,44,54,122,117,14,1,136,1,28,1156,468,44,98,8,8,4.83489827856025,3.006409693590273,0.08377382196347712,0.4915221177290142
149,42,20,28,0,20,58,0,4,19,24,62,58,8,2,64,0,10,579,261,21,32,4,4,4.932917316692667,3.054739003943756,0.1338129414445204,0.3786585782638414
81,43,17,25,0,20,48,0,5,13,19,78,53,2,1,38,0,7,451,247,21,61,17,16,4.402366863905326,2.8492829552741923,0.10913711756408385,0.30642905783355223
71,30,12,17,0,14,38,0,1,10,14,34,33,3,0,31,0,5,319,202,15,33,19,17,4.786931818181818,3.109135462306736,0.11038480038480036,0.342958152958153
120,43,12,15,0,20,37,0,2,12,11,17,33,1,0,35,0,6,387,196,17,26,11,10,5.104761904761904,3.2226045575134017,0.09709090909090909,0.34963636363636363
74,27,8,12,0,14,33,0,9,10,13,36,48,3,0,34,0,9,315,201,12,21,17,16,4.486263736263736,3.062674661879962,0.03356860530773574,0.37167795972143797
40,19,2,6,0,14,28,0,4,6,4,36,27,4,0,21,0,3,218,121,6,22,8,8,4.7317073170731705,3.186894517395809,0.040823863636363644,0.4187010732323233
152,75,26,28,0,24,60,0,14,25,15,70,68,11,0,77,4,20,666,334,25,59,20,17,4.955345060893099,3.3563284856829605,0.02107514880952381,0.4051940247252747
98,31,17,15,0,15,31,1,9,15,12,32,36,1,1,46,1,9,387,212,17,38,9,9,4.824766355140187,3.124226359182173,0.10413533834586468,0.17092731829573934
40,19,2,6,0,14,28,0,4,6,4,36,27,4,0,21,0,3,218,121,6,22,8,8,4.7317073170731705,3.186894517395809,0.14563988095238095,0.45904761904761904
99,35,16,20,0,19,37,0,1,16,17,14,51,6,0,34,0,10,363,210,14,14,13,13,4.626506024096385,3.1968842144374228,0.0976190476190476,0.36232492997198884
99,35,16,20,0,19,37,0,1,16,17,14,51,6,0,34,0,10,363,210,14,14,13,13,4.626506024096385,3.1968842144374228,0.10413533834586468,0.17092731829573934
77,21,3,11,0,16,39,0,7,3,5,63,41,4,0,28,0,0,330,159,11,30,3,3,4.506738544474394,2.6926994160079896,0.09607481060606061,0.43799242424242424
126,42,9,22,0,22,59,0,15,9,4,65,54,1,1,46,0,10,495,239,24,46,15,15,4.956521739130435,3.219991016247889,0.09607481060606061,0.43799242424242424
188,62,16,26,0,20,55,0,16,26,25,64,66,5,2,88,0,10,685,320,43,59,9,9,4.80794701986755,2.938618812927829,0.07833333333333334,0.38666666666666666
80,44,17,16,0,24,43,0,1,23,20,43,37,3,0,51,0,5,415,218,16,28,21,20,4.72626931567329,3.033025226511269,0.037998712998713,0.39581724581724587
122,39,8,26,0,25,34,0,16,10,15,35,67,3,1,51,0,8,458,246,20,35,19,19,4.596590909090909,3.007603856173004,0.03638315236675892,0.3611184443971329
109,42,12,28,0,17,51,0,3,23,31,40,42,9,0,46,0,6,467,232,16,28,17,17,4.3209393346379645,2.757295474120722,0.0935954785954786,0.30925730519480527
103,48,14,22,0,21,35,1,11,13,15,39,56,3,0,56,0,8,437,251,22,38,7,7,4.955375253549696,3.5438651489954323,0.027972132034632037,0.389316829004329
109,35,23,35,0,16,47,1,2,14,24,40,68,9,0,62,0,6,477,251,19,30,7,6,4.4387568555758685,2.9015274348908933,0.05624074074074074,0.4645617283950617
95,56,12,11,0,21,46,1,13,9,11,38,42,4,0,41,0,12,433,224,14,36,22,20,4.983193277310924,3.211776208438495,0.17407407407407405,0.4658635676492819
103,30,13,17,0,18,31,0,0,17,17,31,32,7,0,42,0,5,380,203,12,26,15,15,4.655339805825243,2.772412869732932,0.12562834224598932,0.48974153297682704
166,93,16,41,0,34,72,0,3,30,37,72,86,10,0,67,0,13,749,335,32,53,24,24,4.715311004784689,3.1774361711485346,0.142985842985843,0.4014800514800515
220,58,24,46,0,36,87,0,14,33,48,62,100,14,0,90,4,25,863,403,37,47,20,19,4.473575129533679,3.121764078269956,0.09036945812807883,0.48038861521620135
219,67,15,37,0,37,104,0,17,13,31,109,102,4,2,77,1,23,865,366,29,72,12,12,4.936279547790339,3.3753599612892686,0.08581723154893886,0.3823725055432373
103,30,13,17,0,18,31,0,0,17,17,31,32,7,0,42,0,5,380,203,12,26,15,15,4.655339805825243,2.772412869732932,0.13908393866020985,0.3883091202582729
62,37,11,20,0,8,31,0,2,9,17,45,39,6,0,30,0,7,333,159,11,38,6,6,4.630026809651475,2.8909125785664496,0.16249434644957036,0.32528913872197457
91,46,11,26,0,17,38,0,9,11,21,68,59,4,1,44,0,13,439,242,18,43,16,16,4.521653543307087,3.0810106858302904,0.09036945812807883,0.48038861521620135
111,29,24,27,0,18,41,0,10,12,17,71,47,5,0,58,0,8,502,231,25,52,8,8,4.774134790528233,2.8528359286529184,0.2873809523809524,0.5027248677248678
91,30,16,16,0,26,25,1,4,11,19,37,47,5,0,38,0,13,379,218,21,32,11,11,4.808411214953271,3.3765584378728613,0.11204545454545452,0.30261363636363636
107,56,22,23,0,24,59,1,15,14,16,69,58,14,0,59,1,20,568,296,21,35,10,9,4.814992025518341,3.0503074466528184,0.11379310344827587,0.4775862068965518
88,28,10,15,0,15,25,0,10,13,6,68,48,2,0,30,2,8,354,218,14,34,21,20,4.881481481481481,3.4470216413332224,0.008814102564102571,0.3746794871794872
55,19,6,9,0,6,19,0,0,8,10,16,20,3,0,24,0,4,199,125,15,11,12,12,4.80365296803653,2.841821580846518,0.09545675413022353,0.3966472303206997
95,30,5,22,0,11,27,0,23,6,7,23,39,7,3,28,1,8,336,191,12,28,15,14,4.387700534759358,3.0442594958230087,0.15733471074380165,0.4418732782369146
205,83,38,25,0,55,51,0,6,16,23,74,111,12,0,86,1,10,759,378,20,29,17,16,5.147597254004577,3.330576171432692,0.10688920454545456,0.3825994318181818
102,38,20,26,0,27,39,0,2,24,23,58,51,5,0,61,0,8,488,265,22,51,21,20,4.475925925925926,2.7223690426079905,-0.09443581780538304,0.4718426501035196
130,51,26,55,0,27,66,0,3,34,37,83,76,11,1,84,0,8,712,311,27,74,11,11,4.333333333333333,2.757359993545925,0.10453323558162265,0.4589945001235323
109,28,10,21,0,26,47,0,9,16,24,98,84,3,1,42,0,20,513,247,21,43,13,12,4.344941956882256,3.4090586947620958,0.1345394736842105,0.3732821637426901
54,12,4,9,0,5,13,0,4,6,4,30,19,1,0,18,0,7,191,119,8,17,16,15,4.985781990521327,3.209329662963728,0.07134680134680134,0.34115740740740746
77,16,8,11,0,16,28,1,7,5,25,50,44,1,0,31,0,10,337,195,16,27,12,11,4.992146596858639,4.442391956892473,0.2108034122740005,0.4419404125286478
167,57,8,31,0,33,54,2,15,31,43,117,99,7,0,93,3,20,771,338,27,47,16,15,4.748564867967853,3.245144154225949,0.07777777777777778,0.2851851851851852
51,22,4,6,0,15,23,1,1,5,9,15,19,3,0,31,0,6,225,138,8,13,7,7,4.864754098360656,3.185962578633382,0.27807017543859647,0.35175438596491226
149,52,28,25,0,34,64,0,15,23,25,85,83,3,1,87,5,15,690,354,23,55,27,26,4.87146529562982,3.30343344056151,0.12821969696969698,0.2471906565656566
130,51,26,55,0,27,66,0,3,34,37,83,76,11,1,84,0,8,712,311,27,74,11,11,4.333333333333333,2.757359993545925,0.12166666666666666,0.2733333333333333
111,33,8,21,0,16,34,0,2,18,16,63,41,8,0,54,0,7,439,243,18,49,13,13,4.945945945945946,2.9589534307598364,0.12007406655844158,0.369740936147186
282,81,23,29,0,67,80,1,23,20,47,117,158,10,4,112,4,35,1040,479,34,76,8,8,4.988400994200497,4.590696267145081,0.07134680134680134,0.34115740740740746
108,34,16,24,0,36,63,1,4,9,15,130,65,4,1,37,0,12,590,262,20,69,14,14,4.536474164133739,2.8358502439085878,0.23132275132275135,0.5287301587301587
100,35,10,11,0,17,35,0,16,9,13,32,41,4,0,32,0,5,369,202,13,36,13,12,4.736585365853658,2.894033665069058,0.14891705516705517,0.3873445998445999
113,45,19,36,0,15,45,0,6,9,38,37,52,2,0,44,0,19,485,244,28,34,8,8,4.920222634508349,5.614236016324574,0.08432539682539682,0.1722222222222222
79,26,10,13,0,14,33,1,9,7,14,48,42,1,2,32,1,8,340,197,16,44,11,11,4.802597402597403,3.536637631413591,0.007871794871794872,0.3932564102564103
125,45,20,10,0,23,50,0,3,13,26,47,48,3,0,49,0,7,495,259,23,38,6,6,4.529411764705882,2.8412670025968167,0.014484126984126985,0.21858974358974356
67,21,5,5,0,18,19,0,0,7,10,17,29,3,0,22,0,6,239,146,9,8,34,29,4.832089552238806,3.104571975812294,0.09691876750700279,0.3556022408963585
59,30,5,12,0,13,35,0,1,13,16,34,31,4,0,39,0,5,295,185,12,32,15,15,4.868098159509202,3.00426784673911,-0.006344696969696972,0.4003787878787877
70,24,14,13,0,14,26,0,0,10,14,16,21,1,0,25,2,5,262,141,9,16,8,8,4.821052631578947,2.912983130581286,0.005208333333333329,0.4552083333333334
74,30,17,10,0,20,27,1,0,6,20,17,29,4,0,38,0,8,315,192,14,12,8,8,4.756521739130434,3.139928447788186,0.06684671389216842,0.3444890463072282
42,14,10,3,0,12,14,0,0,4,18,18,25,2,0,20,0,3,188,118,8,13,14,13,4.835680751173709,3.118151988298155,0.1280701754385965,0.42675438596491233
97,50,15,15,0,21,38,0,9,12,13,42,41,7,0,34,0,8,415,242,17,41,6,6,4.997821350762528,3.288526375669394,0.08369565217391305,0.34456521739130436
76,35,5,14,0,9,27,1,5,8,6,47,38,2,0,31,0,12,311,180,14,24,8,8,4.751412429378531,3.2138705644530146,0.1828125,0.4066220238095238
208,82,17,33,0,13,66,0,38,15,8,58,90,9,13,81,8,18,754,343,38,70,11,11,4.815758980301275,5.086685417421608,0.027134146341463414,0.4100609756097561
200,68,28,31,0,16,75,0,19,15,13,30,72,12,0,75,2,9,684,296,33,47,10,10,4.969855832241153,5.694578473858834,,
74,22,11,13,0,13,59,0,3,13,21,46,34,3,0,39,0,4,376,185,12,27,14,13,4.4975609756097565,2.9430194069644218,0.0038819875776397524,0.2261387163561077
70,24,7,10,0,9,30,0,3,7,11,78,72,2,0,36,2,9,346,194,11,65,9,9,4.564593301435407,2.997503349956524,0.07870548340548339,0.4094987012987013
