NOUN,ADJ,ADV,AUX,CONJ,CCONJ,DET,INTJ,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,X,SPACE,text_word_count,text_unique_word_count,sents_count,ents_count,title_word_count,title_unique_word_count,avg_word_len,stdev_word_len,polarity,subjectivity
72,27,7,16,0,8,38,0,5,11,13,29,39,8,0,37,0,7,317,197,15,22,12,12,4.567415730337078,3.100832247426719,0.15120991253644317,0.5057709750566892
231,61,16,41,0,48,54,0,30,33,41,133,112,15,1,121,0,15,989,390,37,122,5,5,4.733031674208145,2.848252124824679,0.022251082251082254,0.35403138528138534
125,48,13,18,0,18,36,0,11,10,11,35,59,5,1,39,0,9,437,249,18,31,11,11,5.018108651911469,3.425720145073808,0.15543478260869567,0.2591415830546266
123,64,16,33,0,27,75,1,10,14,20,77,62,6,1,74,2,23,633,274,24,37,14,12,4.868194842406877,3.2326956662276176,0.08181818181818182,0.3505050505050505
158,38,16,16,0,20,45,2,17,9,12,49,63,11,0,59,2,13,538,273,19,40,15,14,5.113300492610837,3.5372041130695586,0.15079074151654795,0.3922514313643347
121,47,9,20,0,25,39,0,9,8,14,110,124,1,0,52,0,11,526,299,25,73,14,14,4.909785932721713,3.524509973223018,0.1228074220465525,0.44311813790074656
207,74,36,39,0,26,92,0,13,11,24,49,73,18,0,62,4,50,801,361,28,45,17,15,4.546998867497169,3.2005525931250154,0.09870129870129869,0.3725974025974026
91,46,9,23,0,25,36,0,1,17,22,46,49,5,0,46,0,8,425,230,20,46,18,17,4.7642105263157895,3.0824094563913778,0.13823725055432373,0.418229859571323
37,19,2,4,0,7,10,0,2,0,3,9,18,1,0,12,2,5,131,96,7,9,7,7,4.959731543624161,3.400872691321943,0.07879197379197378,0.3170720720720721
216,93,34,39,0,35,81,0,37,38,25,117,106,10,3,114,0,14,930,381,49,114,21,20,4.523946360153257,2.795764729517689,0.13500735294117652,0.49093627450980387
105,29,10,19,0,20,36,0,5,12,16,37,51,10,0,48,0,6,385,212,12,13,12,12,4.708428246013668,3.016953169682749,0.05994824016563145,0.5005848861283644
80,39,20,25,0,10,43,0,3,9,14,24,35,4,1,25,0,5,342,198,16,16,8,8,4.788359788359788,3.185289789426194,0.013717948717948717,0.41833333333333333
257,108,44,52,0,65,74,0,10,37,72,82,123,29,0,151,2,24,1113,524,35,52,17,15,5.008038585209003,3.383258153232509,0.08838427565700292,0.40115505706414784
196,74,21,23,0,36,66,2,44,19,13,184,129,12,5,70,1,25,873,470,38,101,22,20,4.731635651322233,3.762100499077492,0.2492063492063492,0.4546825396825398
282,128,55,83,0,57,168,0,32,42,110,152,152,23,5,169,0,29,1516,637,58,96,9,9,4.551373954599761,2.98412634881518,0.09456241956241956,0.5297619047619048
98,30,7,13,0,19,35,1,4,10,3,48,43,3,0,39,0,11,361,187,12,33,8,8,4.992647058823529,3.395682307302749,0.20640262515262514,0.40480387667887674
109,47,17,20,0,20,37,0,4,17,25,39,49,7,0,65,0,8,468,260,18,28,20,20,4.570599613152805,3.226186793865876,0.0892754515599343,0.3841748768472907
89,42,16,11,0,23,33,0,3,12,17,27,40,3,0,35,0,5,361,211,14,22,16,16,4.686567164179104,2.8853864592405114,0.1890382876382876,0.4759531986531987
95,40,15,20,0,17,27,0,14,11,20,25,51,4,0,47,0,6,382,225,21,29,11,11,4.747706422018348,2.9797198458229,0.10940909090909091,0.3193636363636363
145,44,21,28,0,27,72,0,2,20,26,29,72,8,0,56,0,10,549,275,23,26,18,18,4.4864,2.9188090300405323,0.09402090816984433,0.39209941358877526
65,14,10,13,0,18,41,1,1,16,25,40,42,5,0,44,0,7,334,189,16,29,12,11,4.323607427055703,2.813587800933483,,
54,26,6,17,0,11,27,1,0,9,14,40,30,5,0,23,0,5,268,170,14,33,18,17,4.645484949832776,2.9357901447653902,0.18106060606060606,0.454105154105154
89,42,16,11,0,23,33,0,3,12,17,27,40,3,0,35,0,5,361,211,14,22,16,16,4.686567164179104,2.8853864592405114,0.19074074074074077,0.56168430335097
471,218,37,34,0,147,227,0,37,53,60,267,211,27,0,161,0,14,2076,537,18,119,11,10,4.94473455178416,3.3637405123243216,0.14508441558441557,0.38340043290043296
74,38,12,9,0,21,26,0,3,9,12,23,33,2,0,28,0,4,294,179,12,20,15,14,4.692073170731708,2.891461325008178,0.125,0.3990740740740741
49,20,8,12,0,6,17,1,4,8,10,39,37,1,0,21,0,7,232,140,14,24,7,7,4.501845018450185,3.0802531626900618,0.14036501377410468,0.3496258034894398
1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,3,0,0,9,9,1,1,4,4,4.2,2.573367875415838,0.18106060606060606,0.454105154105154
1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,3,0,0,9,9,1,1,9,9,4.2,2.573367875415838,0.12308149058149062,0.2688206388206388
143,61,29,36,0,16,73,0,7,11,19,32,69,5,0,51,0,12,563,265,21,27,14,13,4.507086614173228,3.0294865600308065,0.21136363636363634,0.4333853238265003
1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,3,0,0,9,9,1,1,12,12,4.2,2.573367875415838,0.13576023391812866,0.31204678362573096
115,59,18,31,0,23,56,0,16,6,16,66,66,2,1,37,0,6,525,263,24,54,8,7,4.80976430976431,3.136980472900353,0.0,0.0
82,27,8,11,0,11,52,0,3,13,14,47,25,3,0,32,0,4,363,184,14,37,15,15,4.809768637532134,2.9662721229108757,0.0,0.0
70,31,6,30,0,16,34,0,4,15,37,47,51,9,0,46,0,6,393,205,21,33,9,9,4.293064876957494,2.852348769043829,0.08749659291325956,0.43242544492544494
205,81,17,32,0,13,66,0,36,15,8,55,87,9,13,79,8,17,740,339,37,67,11,11,4.807328605200945,5.1098691564493945,0.0,0.0
82,39,4,11,0,16,26,0,11,9,2,39,39,2,0,35,0,5,325,203,11,33,13,13,5.31043956043956,3.593658452534406,0.12799387195613612,0.3368948556684407
100,29,14,16,0,13,30,0,15,11,11,34,45,5,0,39,0,9,369,203,17,29,5,5,5.011933174224343,4.352016618332395,0.09629148629148629,0.4224867724867725
125,71,21,24,0,28,51,0,13,14,32,60,91,6,2,61,0,12,587,303,22,55,19,18,4.354319180087848,2.871708177534579,0.09950396825396828,0.33204365079365084
65,38,15,18,0,13,26,0,12,1,11,26,41,3,0,25,0,3,290,181,14,22,8,8,4.918429003021148,3.159784027468837,0.079769071019071,0.4096270621270621
230,72,22,30,0,46,78,2,35,26,40,89,118,12,3,104,1,16,927,444,33,71,9,9,4.63489037178265,3.160642239003046,0.07824881467738612,0.3578107606679035
324,138,48,56,0,67,107,2,27,40,38,185,163,9,2,150,1,38,1411,597,43,97,8,8,4.9311868686868685,3.2251282980142784,0.11883600270697044,0.41557823896533574
318,112,32,48,0,72,113,0,19,40,59,127,171,27,0,153,2,24,1297,577,47,71,18,17,4.781546811397558,3.3256862119304103,0.08655734560797854,0.4069409282700423
197,75,24,26,0,34,73,0,4,23,17,49,96,3,0,76,0,8,684,355,23,41,21,21,5.07544757033248,3.4958450906777685,0.08796296296296297,0.43827160493827155
132,63,16,27,0,23,46,0,2,15,18,44,80,8,0,52,0,9,515,282,21,38,11,11,4.74496644295302,3.079679918795682,0.2235528548028548,0.4404089154089154
65,35,11,18,0,16,47,0,1,8,23,53,42,9,0,31,0,3,370,193,14,38,20,19,4.585956416464891,3.135375415814805,0.10072370129870131,0.3830623376623377
78,37,16,16,0,12,34,0,17,8,14,38,44,4,0,31,1,4,362,191,18,36,13,12,4.667487684729064,3.050242183235812,0.12667131844763424,0.3746378256246679
46,16,8,6,0,5,20,0,9,6,8,51,36,2,0,17,5,9,227,138,5,30,13,13,4.735074626865671,3.4889822832291832,0.06399688619837873,0.3833302891138712
189,70,16,20,0,29,64,1,35,7,12,53,100,4,2,57,0,19,654,323,27,65,17,17,4.5708712613784135,3.0363225419011184,0.17350575977694624,0.3673244552058112
417,132,48,91,0,78,173,0,42,20,36,130,204,25,10,161,2,37,1575,599,63,89,7,7,4.586149584487535,3.068856303753696,0.09920454545454546,0.4236139169472503
200,68,28,31,0,16,75,0,19,15,13,30,72,12,0,75,2,9,684,296,33,47,10,10,4.969855832241153,5.694578473858834,0.2074404761904762,0.43690476190476185
389,153,32,45,0,72,111,0,55,39,36,228,235,9,10,162,2,18,1482,645,53,148,12,12,5.014310246136233,3.4643200361148674,0.1748803827751196,0.44389952153110046
135,51,18,24,0,23,51,0,5,16,34,73,76,12,0,72,3,8,570,319,26,37,14,13,4.934150076569678,3.168133232661857,0.06222370766488415,0.36246434937611405
293,101,33,31,0,51,89,0,13,27,45,70,115,21,1,121,3,27,1049,453,36,56,12,12,4.991445680068434,3.3377144455246017,0.09784792030885785,0.42498952870046597
103,36,19,18,0,14,27,0,36,8,8,52,60,3,2,31,0,7,409,229,16,58,13,12,4.48024948024948,3.0242293681140118,,
80,27,9,8,0,10,41,1,10,6,8,50,60,0,0,33,1,10,335,180,14,35,16,15,4.626262626262626,3.5216102720301152,0.15120991253644317,0.5057709750566892
132,68,16,17,0,26,54,1,16,19,5,62,65,3,1,58,2,8,564,278,17,46,17,17,4.901430842607313,3.0847603402975565,0.10975378119822565,0.42389845545401117
126,46,14,19,0,28,61,0,6,12,23,64,57,1,0,52,0,7,544,255,21,42,16,14,4.5438016528925615,2.8829509280090986,0.14912868949232586,0.37319086973632426
63,29,9,11,0,14,34,0,5,10,12,31,35,9,0,31,0,8,301,168,11,25,13,13,4.498516320474778,2.8951155798542816,0.13547757207331676,0.3507317859445519
104,59,10,11,0,35,46,0,8,11,13,64,54,4,0,39,0,8,473,248,15,51,11,9,4.9716446124763705,3.1839365610790136,0.20499134199134197,0.48203463203463215
133,70,10,12,0,46,70,0,9,22,10,131,95,5,0,77,0,17,684,319,21,86,9,9,5.236875800256082,3.705709035748971,0.1864130434782609,0.497463768115942
193,53,26,31,0,40,65,1,15,27,40,169,99,9,2,84,1,24,877,449,29,79,4,4,4.986748216106014,3.243648066985466,0.04603049728049728,0.36228826728826746
150,57,27,21,0,12,41,1,19,22,22,51,61,7,0,72,0,13,578,286,31,48,11,11,4.832298136645963,3.22796109223734,0.11457855477855476,0.4520216783216781
130,54,25,29,0,18,65,0,14,14,21,48,89,7,2,59,1,7,569,284,27,37,8,8,4.771558245083208,3.4184227478977487,0.03957307060755337,0.1647783251231527
149,49,5,18,0,32,44,1,19,15,28,78,67,3,0,54,0,6,577,307,19,53,8,8,5.035658914728682,3.465038303177383,0.08692197953561591,0.3111102912239276
149,81,21,37,0,38,61,0,3,22,24,125,113,6,1,54,0,9,698,380,24,73,24,22,4.575091575091575,3.2284894444725607,0.06294518544518544,0.24331578331578338
47,23,11,9,0,9,34,0,1,9,6,37,29,5,0,19,0,5,245,142,11,28,20,16,4.318840579710145,2.8944724933038755,0.08477691663175532,0.37420576735092875
205,86,15,26,0,45,68,0,24,24,41,112,139,4,2,100,8,41,894,446,34,81,12,12,4.996127783155857,4.766239529752305,0.08307787174066243,0.4469520789288232
